"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"26","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","52","Local variable 'packet' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"27","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","2","58","Avoid reassigning parameters such as 'raw'","Design Rules","AvoidReassigningParameters"
"28","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","73","Parameter 'value' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"29","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","73","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"30","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","86","Avoid variables with short names like bp","Naming Rules","ShortVariable"
"31","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","86","Local variable 'bp' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"32","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/ByteArrayPacket.java","3","87","Local variable 'relativeOffset' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"33","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","34","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"34","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","39","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"35","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","39","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"36","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","1","39","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"37","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","1","39","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"38","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","40","Avoid excessively long variable names like VALIDATE_MINIMUM_PACKETS","Naming Rules","LongVariable"
"39","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","40","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"40","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","40","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"41","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","1","40","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"42","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","1","40","Variables that are not final should not contain underscores (except for underscores in standard prefix/suffix).","Naming Rules","VariableNamingConventions"
"43","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","41","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"44","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","41","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"45","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","1","41","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"46","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","46","Avoid variables with short names like is","Naming Rules","ShortVariable"
"47","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","46","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"48","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","51","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"49","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","51","Private field 'raw' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"50","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","52","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"51","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","57","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"52","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","62","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"53","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","62","It is somewhat confusing to have a field name with the same name as a method","Naming Rules","AvoidFieldNameMatchingMethodName"
"54","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","67","It is somewhat confusing to have a field name with the same name as a method","Naming Rules","AvoidFieldNameMatchingMethodName"
"55","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","69","Avoid variables with short names like is","Naming Rules","ShortVariable"
"56","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","69","Parameter 'is' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"57","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","92","Parameter 'array' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"58","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","100","Parameter 'array' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"59","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","100","Parameter 'length' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"60","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","100","Parameter 'offset' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"61","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","103","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"62","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","106","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"63","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","108","Local variable 'returnArray' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"64","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","109","Avoid instantiation through private constructors from outside of the constructor's class.","Design Rules","AccessorClassGeneration"
"65","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","118","Local variable 'array' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"66","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","142","Local variable 'returnArray' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"67","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","143","Avoid instantiation through private constructors from outside of the constructor's class.","Design Rules","AccessorClassGeneration"
"68","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","178","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"69","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","180","Local variable 'begin' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"70","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","181","Local variable 'end' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"71","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","5","182","Found 'DD'-anomaly for variable 'read' (lines '182'-'184').","Controversial Rules","DataflowAnomalyAnalysis"
"72","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","5","182","Found 'DD'-anomaly for variable 'read' (lines '182'-'186').","Controversial Rules","DataflowAnomalyAnalysis"
"73","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","201","Avoid unnecessary comparisons in boolean expressions","Design Rules","SimplifyBooleanExpressions"
"74","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","5","213","Found 'DD'-anomaly for variable 'toBeRead' (lines '213'-'214').","Controversial Rules","DataflowAnomalyAnalysis"
"75","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","254","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"76","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","304","Private field 'offset' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"77","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","305","Private field 'length' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"78","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","308","The user-supplied array 'array' is stored directly.","Security Code Guidelines","ArrayIsStoredDirectly"
"79","ie.ucd.sensetile.sensorboard.driver","src/ie/ucd/sensetile/sensorboard/driver/InputStreamPacketInputStream.java","3","333","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"80","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","19","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"81","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"82","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","21","Private field 'pattern' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"83","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"84","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","22","Private field 'repetitionStep' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"85","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","24","Parameter 'pattern' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"86","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","24","Parameter 'repetitionStep' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"87","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","37","Parameter 'ba_pattern' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"88","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","52","Parameter 'ba_pattern' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"89","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","53","Parameter 'repetitionStep' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"90","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","54","Local variable 'pattern' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"91","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","57","Local variable 'creation' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"92","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","58","Consider simply returning the value vs storing it in local variable 'creation'","Design Rules","UnnecessaryLocalBeforeReturn"
"93","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","72","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"94","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","5","87","Found 'DD'-anomaly for variable 'index' (lines '87'-'95').","Controversial Rules","DataflowAnomalyAnalysis"
"95","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","5","87","Found 'DD'-anomaly for variable 'index' (lines '87'-'97').","Controversial Rules","DataflowAnomalyAnalysis"
"96","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","89","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"97","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","93","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"98","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","5","103","Found 'DD'-anomaly for variable 'index' (lines '103'-'105').","Controversial Rules","DataflowAnomalyAnalysis"
"99","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","5","104","Found 'DD'-anomaly for variable 'check' (lines '104'-'109').","Controversial Rules","DataflowAnomalyAnalysis"
"100","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","5","104","Found 'DU'-anomaly for variable 'check' (lines '104'-'117').","Controversial Rules","DataflowAnomalyAnalysis"
"101","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","107","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"102","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","5","125","Found 'DU'-anomaly for variable 'patternIndex' (lines '125'-'138').","Controversial Rules","DataflowAnomalyAnalysis"
"103","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","5","130","Found 'DD'-anomaly for variable 'dataIndex' (lines '130'-'133').","Controversial Rules","DataflowAnomalyAnalysis"
"104","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","5","134","Found 'DU'-anomaly for variable 'patternIndex' (lines '134'-'138').","Controversial Rules","DataflowAnomalyAnalysis"
"105","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/BytePattern.java","3","143","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"106","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","1","16","A class which only has private constructors should be final","Design Rules","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"107","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","16","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"108","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"109","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"110","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","19","Private field 'offset' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"111","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"112","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","20","It is somewhat confusing to have a field name with the same name as a method","Naming Rules","AvoidFieldNameMatchingMethodName"
"113","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","20","Private field 'length' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"114","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"115","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","21","Private field 'folding' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"116","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","24","Parameter 'array' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"117","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","24","Parameter 'folding' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"118","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","24","Parameter 'length' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"119","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","24","Parameter 'offset' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"120","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","24","The user-supplied array 'array' is stored directly.","Security Code Guidelines","ArrayIsStoredDirectly"
"121","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","2","38","Avoid reassigning parameters such as 'index'","Design Rules","AvoidReassigningParameters"
"122","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","2","49","Avoid reassigning parameters such as 'index'","Design Rules","AvoidReassigningParameters"
"123","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","49","Parameter 'value' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"124","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","2","60","Avoid reassigning parameters such as 'index'","Design Rules","AvoidReassigningParameters"
"125","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","2","73","Avoid reassigning parameters such as 'index'","Design Rules","AvoidReassigningParameters"
"126","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","113","Returning 'array' may expose an internal array.","Security Code Guidelines","MethodReturnsInternalArray"
"127","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","2","116","Avoid reassigning parameters such as 'index'","Design Rules","AvoidReassigningParameters"
"128","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","157","Avoid variables with short names like ba","Naming Rules","ShortVariable"
"129","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","157","Local variable 'ba' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"130","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","158","Local variable 'realOffset' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"131","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","172","Avoid variables with short names like ba","Naming Rules","ShortVariable"
"132","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","172","Local variable 'ba' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"133","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","173","Local variable 'realOffset' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"134","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","3","209","Avoid unused method parameters such as 'offset'.","Unused Code Rules","UnusedFormalParameter"
"135","ie.ucd.sensetile.util","src/ie/ucd/sensetile/util/UnsignedByteArray.java","1","211","Avoid throwing null pointer exceptions.","Strict Exception Rules","AvoidThrowingNullPointerException"
"136","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ArraysUnitTest.java","4","4","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"137","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ArraysUnitTest.java","4","4","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"138","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ArraysUnitTest.java","3","13","Local variable 'original' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"139","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ArraysUnitTest.java","3","14","Local variable 'copy' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"140","ie.ucd.jdk.test","test/src/ie/ucd/jdk/test/ArraysUnitTest.java","3","15","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
